Uniprot-Accession,S3-Protein,0,3,5,7,9,11,13,15,E-value,Protein,Gene,Length,GO-BP,GO-IDs,Pathway,UniPathway,CDD,Pfam,GO-names
P82251,CHOYP_BAT1.1.4|m.3906,0,0,0,0,0,0,0,0,7.00E-175,"b(0,+)-type amino acid transporter 1 (b(0,+)AT1) (Glycoprotein-associated amino acid transporter b0,+AT1) (Solute carrier family 7 member 9)",SLC7A9 BAT1,487,amino acid transport [GO:0006865]; L-cystine transport [GO:0015811]; leukocyte migration [GO:0050900]; neutral amino acid transport [GO:0015804]; protein complex assembly [GO:0006461],GO:0005886; GO:0005887; GO:0006461; GO:0006865; GO:0015175; GO:0015184; GO:0015297; GO:0015804; GO:0015811; GO:0016324; GO:0031526; GO:0042605; GO:0050900,,,,PF13520;,apical plasma membrane [GO:0016324]; brush border membrane [GO:0031526]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; antiporter activity [GO:0015297]; L-cystine transmembrane transporter activity [GO:0015184]; neutral amino acid transmembrane transporter activity [GO:0015175]; peptide antigen binding [GO:0042605]; amino acid transport [GO:0006865]; L-cystine transport [GO:0015811]; leukocyte migration [GO:0050900]; neutral amino acid transport [GO:0015804]; protein complex assembly [GO:0006461]
Q6PGL7,CHOYP_BRAFLDRAFT_118099.1.6|m.1356,0,0,0,0,0,0,0,0,1.00E-90,WASH complex subunit 2,Washc2 D6Wsu116e Fam21 Kiaa0592,1334,"protein transport [GO:0015031]; retrograde transport, endosome to Golgi [GO:0042147]",GO:0005546; GO:0005547; GO:0005730; GO:0005768; GO:0005769; GO:0005829; GO:0005886; GO:0010314; GO:0015031; GO:0031901; GO:0032266; GO:0042147; GO:0043231; GO:0043325; GO:0070273; GO:0071203; GO:0080025; GO:1905394,,,,PF15255;,"cytosol [GO:0005829]; early endosome [GO:0005769]; early endosome membrane [GO:0031901]; endosome [GO:0005768]; intracellular membrane-bounded organelle [GO:0043231]; nucleolus [GO:0005730]; plasma membrane [GO:0005886]; WASH complex [GO:0071203]; phosphatidylinositol-3,4,5-trisphosphate binding [GO:0005547]; phosphatidylinositol-3,4-bisphosphate binding [GO:0043325]; phosphatidylinositol-3,5-bisphosphate binding [GO:0080025]; phosphatidylinositol-3-phosphate binding [GO:0032266]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; phosphatidylinositol-4-phosphate binding [GO:0070273]; phosphatidylinositol-5-phosphate binding [GO:0010314]; retromer complex binding [GO:1905394]; protein transport [GO:0015031]; retrograde transport, endosome to Golgi [GO:0042147]"
A9CPT4,CHOYP_BRAFLDRAFT_125037.2.3|m.13981,0,0,0,0,0,0,0,0,2.00E-48,Tudor domain-containing protein 1,tdrd1,1133,DNA methylation involved in gamete generation [GO:0043046]; gene silencing by RNA [GO:0031047]; germ cell development [GO:0007281]; meiotic cell cycle [GO:0051321]; multicellular organism development [GO:0007275]; piRNA metabolic process [GO:0034587]; spermatogenesis [GO:0007283],GO:0007275; GO:0007281; GO:0007283; GO:0031047; GO:0034587; GO:0043046; GO:0043186; GO:0046872; GO:0051321; GO:0071546,,,,PF00567;PF01753;,P granule [GO:0043186]; pi-body [GO:0071546]; metal ion binding [GO:0046872]; DNA methylation involved in gamete generation [GO:0043046]; gene silencing by RNA [GO:0031047]; germ cell development [GO:0007281]; meiotic cell cycle [GO:0051321]; multicellular organism development [GO:0007275]; piRNA metabolic process [GO:0034587]; spermatogenesis [GO:0007283]
Q6X862,CHOYP_CAD1.2.2|m.61448,0.5,0,0,0,0,0,0,0,3.00E-116,Protocadherin-11 X-linked (Protocadherin-11) (Protocadherin on the X chromosome),PCDH11X PCDH11 PCDHX,1347,homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; negative regulation of phosphatase activity [GO:0010923],GO:0005509; GO:0005886; GO:0007156; GO:0010923; GO:0016021,,,,PF00028;PF08266;PF08374;,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; negative regulation of phosphatase activity [GO:0010923]
P15253,CHOYP_LOC100083524.1.1|m.50023,0,0,0,0,0,0,0,0,0,Calreticulin (CRP55) (Calregulin) (Endoplasmic reticulum resident protein 60) (ERp60) (HACBP),CALR,418,protein folding [GO:0006457]; protein stabilization [GO:0050821],GO:0005509; GO:0006457; GO:0030246; GO:0033018; GO:0050821,,,,PF00262;,sarcoplasmic reticulum lumen [GO:0033018]; calcium ion binding [GO:0005509]; carbohydrate binding [GO:0030246]; protein folding [GO:0006457]; protein stabilization [GO:0050821]
P79402,CHOYP_LOC100371043.3.5|m.24649,0,0,0,0,0,0,0,0,1.00E-49,Cytochrome P450 2C42 (EC 1.14.14.1) (CYPIIC42) (Fragment),CYP2C42,327,epoxygenase P450 pathway [GO:0019373],GO:0005506; GO:0005789; GO:0008392; GO:0019373; GO:0020037; GO:0031090; GO:0070330,,,,PF00067;,endoplasmic reticulum membrane [GO:0005789]; organelle membrane [GO:0031090]; arachidonic acid epoxygenase activity [GO:0008392]; aromatase activity [GO:0070330]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; epoxygenase P450 pathway [GO:0019373]
Q66IH2,CHOYP_LOC100708602.1.1|m.65805,0.5,0,0,0,0,0,0,0,1.00E-67,Transforming growth factor beta regulator 1,tbrg1 TEgg020g14.1,409,cell cycle [GO:0007049],GO:0005634; GO:0007049,,,,PF05965;PF05964;,nucleus [GO:0005634]; cell cycle [GO:0007049]
Q9VMY1,CHOYP_LOC100879807.1.1|m.14598,0,0,0,0,0,0,0,0,3.00E-34,"Probable 39S ribosomal protein L24, mitochondrial (L24mt) (MRP-L24)",mRpL24 CG8849,247,mitochondrial translation [GO:0032543]; sensory perception of pain [GO:0019233]; translation [GO:0006412],GO:0003735; GO:0005762; GO:0006412; GO:0019233; GO:0032543,,,,PF00467;PF17136;,mitochondrial large ribosomal subunit [GO:0005762]; structural constituent of ribosome [GO:0003735]; mitochondrial translation [GO:0032543]; sensory perception of pain [GO:0019233]; translation [GO:0006412]
O54926,CHOYP_LOC100892743.1.1|m.55850,0.5,0,0,0,0,0,0,0,3.00E-21,Apoptosis regulatory protein Siva (CD27-binding protein) (CD27BP),Siva1 Siva,175,activation-induced cell death of T cells [GO:0006924]; extrinsic apoptotic signaling pathway [GO:0097191]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway [GO:1901030],GO:0001618; GO:0005164; GO:0005175; GO:0005654; GO:0005737; GO:0005739; GO:0006924; GO:0008270; GO:0032088; GO:0097191; GO:1901030,,,,PF05458;,cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; CD27 receptor binding [GO:0005175]; tumor necrosis factor receptor binding [GO:0005164]; virus receptor activity [GO:0001618]; zinc ion binding [GO:0008270]; activation-induced cell death of T cells [GO:0006924]; extrinsic apoptotic signaling pathway [GO:0097191]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway [GO:1901030]
B0JZV4,CHOYP_LOC100893981.1.1|m.56774,0,0,0,0,0,0,0,0,6.00E-152,Cytosolic carboxypeptidase-like protein 5 (EC 3.4.17.-) (ATP/GTP-binding protein-like 5),agbl5 ccp5,944,defense response to virus [GO:0051607]; protein branching point deglutamylation [GO:0035611]; protein deglutamylation [GO:0035608],GO:0004181; GO:0005634; GO:0005829; GO:0008270; GO:0015631; GO:0030496; GO:0035608; GO:0035611; GO:0051607; GO:0072686,,,cd06236;,PF00246;,cytosol [GO:0005829]; midbody [GO:0030496]; mitotic spindle [GO:0072686]; nucleus [GO:0005634]; metallocarboxypeptidase activity [GO:0004181]; tubulin binding [GO:0015631]; zinc ion binding [GO:0008270]; defense response to virus [GO:0051607]; protein branching point deglutamylation [GO:0035611]; protein deglutamylation [GO:0035608]
Q8BK48,CHOYP_LOC100922782.1.1|m.5582,0.5,0,0,0,0,0,0,0,9.00E-84,Pyrethroid hydrolase Ces2e (EC 3.1.1.88) (carboxylesterase 2E),Ces2e Ces5,559,,GO:0005783; GO:0052689; GO:0102209,,,,PF00135;,endoplasmic reticulum [GO:0005783]; carboxylic ester hydrolase activity [GO:0052689]; trans-permethrin hydrolase activity [GO:0102209]
F4JS25,CHOYP_LOC587791.2.3|m.33887,0.5,0,0,0,0,0,0,0,3.00E-10,"Suppressor of RPS4-RLD 1 (Protein SUPPRESSOR OF npr1-1, CONSTITUTIVE 5) (AtSNC5)",SRFR1 SNC5 At4g37460 F6G17.110,1052,"defense response to bacterium [GO:0042742]; defense response to bacterium, incompatible interaction [GO:0009816]; negative regulation of defense response [GO:0031348]; negative regulation of transcription, DNA-templated [GO:0045892]",GO:0005634; GO:0005737; GO:0005783; GO:0009816; GO:0016021; GO:0031348; GO:0032947; GO:0042742; GO:0043231; GO:0045892; GO:0048471,,,,PF13181;,"cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; protein complex scaffold [GO:0032947]; defense response to bacterium [GO:0042742]; defense response to bacterium, incompatible interaction [GO:0009816]; negative regulation of defense response [GO:0031348]; negative regulation of transcription, DNA-templated [GO:0045892]"
Q14919,CHOYP_NC2A.1.1|m.22786,0.5,0,0,0,0,0,0,0,4.00E-47,Dr1-associated corepressor (Dr1-associated protein 1) (Negative cofactor 2-alpha) (NC2-alpha),DRAP1,205,"negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; transcription, DNA-templated [GO:0006351]",GO:0000122; GO:0003677; GO:0003700; GO:0003714; GO:0005634; GO:0006351; GO:0042802,,,,PF00808;,"nucleus [GO:0005634]; DNA binding [GO:0003677]; identical protein binding [GO:0042802]; transcription corepressor activity [GO:0003714]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; transcription, DNA-templated [GO:0006351]"
Q8QZY6,CHOYP_PMTR.1.1|m.46450,0,0,0,0,0,0,0,0,0.00000003,Tetraspanin-14 (Tspan-14) (Transmembrane 4 superfamily member 14),Tspan14 D14Ertd226e Tm4sf14,270,cell surface receptor signaling pathway [GO:0007166]; establishment of protein localization to plasma membrane [GO:0090002]; positive regulation of Notch signaling pathway [GO:0045747]; protein maturation [GO:0051604],GO:0005886; GO:0005887; GO:0007166; GO:0009986; GO:0019899; GO:0045747; GO:0051604; GO:0090002; GO:0097197,,,,PF00335;,cell surface [GO:0009986]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; tetraspanin-enriched microdomain [GO:0097197]; enzyme binding [GO:0019899]; cell surface receptor signaling pathway [GO:0007166]; establishment of protein localization to plasma membrane [GO:0090002]; positive regulation of Notch signaling pathway [GO:0045747]; protein maturation [GO:0051604]
A4YCY6,CHOYP_RS2.4.10|m.21705,0,0,0,0,0,0,0,0,8.00E-54,30S ribosomal protein S5,rps5 Msed_0111,214,translation [GO:0006412],GO:0003735; GO:0006412; GO:0015935; GO:0019843,,,,PF00333;PF03719;,small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
Q8TKI9,CHOYP_RS3A.7.15|m.20182,0,0,0,0,0,0,0,0,3.00E-19,30S ribosomal protein S3Ae (Ribosomal protein S1e),rps3ae MA_3416,203,translation [GO:0006412],GO:0003735; GO:0005829; GO:0005840; GO:0006412,,,,PF01015;,cytosol [GO:0005829]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
O43451,CHOYP_SUIS.2.2|m.16063,0,0,0,0,0,0,0,0,2.00E-135,"Maltase-glucoamylase, intestinal [Includes: Maltase (EC 3.2.1.20) (Alpha-glucosidase); Glucoamylase (EC 3.2.1.3) (Glucan 1,4-alpha-glucosidase)]",MGAM MGA MGAML,1857,neutrophil degranulation [GO:0043312]; polysaccharide digestion [GO:0044245]; starch catabolic process [GO:0005983],GO:0003824; GO:0004339; GO:0004558; GO:0005886; GO:0005983; GO:0016021; GO:0016160; GO:0016324; GO:0030246; GO:0032450; GO:0043312; GO:0044245; GO:0070062; GO:0070821; GO:0101003,,,cd00111;,PF01055;PF16863;PF00088;,"apical plasma membrane [GO:0016324]; extracellular exosome [GO:0070062]; ficolin-1-rich granule membrane [GO:0101003]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; tertiary granule membrane [GO:0070821]; alpha-1,4-glucosidase activity [GO:0004558]; amylase activity [GO:0016160]; carbohydrate binding [GO:0030246]; catalytic activity [GO:0003824]; glucan 1,4-alpha-glucosidase activity [GO:0004339]; maltose alpha-glucosidase activity [GO:0032450]; neutrophil degranulation [GO:0043312]; polysaccharide digestion [GO:0044245]; starch catabolic process [GO:0005983]"
O13046,CHOYP_WDHD1.1.1|m.23505,0,0,0,0,0,0,0,0,0,WD repeat and HMG-box DNA-binding protein 1 (Acidic nucleoplasmic DNA-binding protein 1) (And-1),wdhd1,1127,,GO:0003677; GO:0005654; GO:0005737,,,,PF08662;PF00505;PF12341;PF00400;,cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; DNA binding [GO:0003677]
Q6R7F2,CHOYP_Y077.1.1|m.27629,0,0,0,0,0,0,0,0,0,Uncharacterized protein ORF77,ORF77,1264,,GO:0016021; GO:0033644,,,,,host cell membrane [GO:0033644]; integral component of membrane [GO:0016021]
Q08D64,CHOYP_ABCB6.3.3|m.53101,0,0,0,0,0,0,0,0,0,"ATP-binding cassette sub-family B member 6, mitochondrial",abcb6,849,,GO:0005524; GO:0005741; GO:0005783; GO:0005794; GO:0005886; GO:0016021; GO:0042626,,,,PF00664;PF00005;PF16185;,"endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; mitochondrial outer membrane [GO:0005741]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATPase activity, coupled to transmembrane movement of substances [GO:0042626]"
Q9I931,CHOYP_BRAFLDRAFT_189049.2.2|m.59154,0,0,0,0,0,0,0,0,3.00E-14,Fucolectin-1,,178,"regulation of cellular defense response [GO:0010185]; regulation of complement activation, lectin pathway [GO:0001868]; regulation of innate immune response [GO:0045088]",GO:0001868; GO:0005509; GO:0005615; GO:0010185; GO:0030246; GO:0042806; GO:0045088,,,,PF00754;,"extracellular space [GO:0005615]; calcium ion binding [GO:0005509]; carbohydrate binding [GO:0030246]; fucose binding [GO:0042806]; regulation of cellular defense response [GO:0010185]; regulation of complement activation, lectin pathway [GO:0001868]; regulation of innate immune response [GO:0045088]"
Q9VIU7,CHOYP_BRAFLDRAFT_276832.1.2|m.7666,0,0,0,0,0,0,0,0,0.00000003,Probable dolichol-phosphate mannosyltransferase (DPM synthase) (Dolichol-phosphate mannose synthase) (EC 2.4.1.83) (Dolichyl-phosphate beta-D-mannosyltransferase) (Mannose-P-dolichol synthase) (MPD synthase),CG10166,241,protein glycosylation [GO:0006486],GO:0004582; GO:0005783; GO:0006486,PATHWAY: Protein modification; protein glycosylation.,,,PF00535;,endoplasmic reticulum [GO:0005783]; dolichyl-phosphate beta-D-mannosyltransferase activity [GO:0004582]; protein glycosylation [GO:0006486]
Q05932,CHOYP_BRAFLDRAFT_284412.1.1|m.37396,1,0,0,0,0,0,0,0,3.00E-158,"Folylpolyglutamate synthase, mitochondrial (EC 6.3.2.17) (Folylpoly-gamma-glutamate synthetase) (FPGS) (Tetrahydrofolylpolyglutamate synthase) (Tetrahydrofolate synthase)",FPGS,587,animal organ regeneration [GO:0031100]; brain development [GO:0007420]; cell proliferation [GO:0008283]; folic acid-containing compound metabolic process [GO:0006760]; folic acid metabolic process [GO:0046655]; glutamate metabolic process [GO:0006536]; liver development [GO:0001889]; nucleobase-containing compound metabolic process [GO:0006139]; one-carbon metabolic process [GO:0006730]; tetrahydrofolylpolyglutamate biosynthetic process [GO:0046901],GO:0001889; GO:0004326; GO:0005524; GO:0005737; GO:0005739; GO:0005743; GO:0005759; GO:0005829; GO:0006139; GO:0006536; GO:0006730; GO:0006760; GO:0007420; GO:0008283; GO:0031100; GO:0046655; GO:0046872; GO:0046901,PATHWAY: Cofactor biosynthesis; tetrahydrofolylpolyglutamate biosynthesis.,,,,cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; tetrahydrofolylpolyglutamate synthase activity [GO:0004326]; animal organ regeneration [GO:0031100]; brain development [GO:0007420]; cell proliferation [GO:0008283]; folic acid metabolic process [GO:0046655]; folic acid-containing compound metabolic process [GO:0006760]; glutamate metabolic process [GO:0006536]; liver development [GO:0001889]; nucleobase-containing compound metabolic process [GO:0006139]; one-carbon metabolic process [GO:0006730]; tetrahydrofolylpolyglutamate biosynthetic process [GO:0046901]
Q69Z89,CHOYP_BRAFLDRAFT_85170.1.1|m.8699,0,0,0,0,0,0,0,0,5.00E-86,Ras-associating and dilute domain-containing protein,Radil Kiaa1849,1099,multicellular organism development [GO:0007275]; signal transduction [GO:0007165]; substrate adhesion-dependent cell spreading [GO:0034446],GO:0005874; GO:0007165; GO:0007275; GO:0034446,,,,PF01843;PF00595;PF00788;,microtubule [GO:0005874]; multicellular organism development [GO:0007275]; signal transduction [GO:0007165]; substrate adhesion-dependent cell spreading [GO:0034446]
P51892,CHOYP_DNLI1.1.2|m.19123,0.5,0,0,0,0,0,0,0,0,DNA ligase 1 (EC 6.5.1.1) (DNA ligase I) (Polydeoxyribonucleotide synthase [ATP] 1),lig1,1070,cell cycle [GO:0007049]; cell division [GO:0051301]; DNA biosynthetic process [GO:0071897]; DNA ligation involved in DNA repair [GO:0051103]; DNA recombination [GO:0006310]; DNA replication [GO:0006260],GO:0003677; GO:0003910; GO:0005524; GO:0005634; GO:0006260; GO:0006310; GO:0007049; GO:0046872; GO:0051103; GO:0051301; GO:0071897,,,,PF04679;PF01068;PF04675;,nucleus [GO:0005634]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA ligase (ATP) activity [GO:0003910]; metal ion binding [GO:0046872]; cell cycle [GO:0007049]; cell division [GO:0051301]; DNA biosynthetic process [GO:0071897]; DNA ligation involved in DNA repair [GO:0051103]; DNA recombination [GO:0006310]; DNA replication [GO:0006260]
Q9JK41,CHOYP_DPSE_GA20368.1.1|m.6272,0,0,0,0,0,0,0,0,4.00E-13,High affinity copper uptake protein 1 (Copper transporter 1) (rCTR1) (Liver regeneration-related protein LRRGT00200) (Solute carrier family 31 member 1),Slc31a1 Copt1 Ctr1,187,cellular copper ion homeostasis [GO:0006878]; cellular response to cisplatin [GO:0072719]; copper ion import [GO:0015677]; copper ion import into cell [GO:1902861]; drug transmembrane transport [GO:0006855],GO:0005375; GO:0005737; GO:0005770; GO:0005886; GO:0006855; GO:0006878; GO:0015088; GO:0015677; GO:0016021; GO:0043025; GO:0055037; GO:0072719; GO:1902861,,,,PF04145;,cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; late endosome [GO:0005770]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]; recycling endosome [GO:0055037]; copper ion transmembrane transporter activity [GO:0005375]; copper uptake transmembrane transporter activity [GO:0015088]; cellular copper ion homeostasis [GO:0006878]; cellular response to cisplatin [GO:0072719]; copper ion import [GO:0015677]; copper ion import into cell [GO:1902861]; drug transmembrane transport [GO:0006855]
Q1RMT1,CHOYP_ERCC3.1.1|m.34841,0,0,0,0,0,0,0,0,0,TFIIH basal transcription factor complex helicase XPB subunit (EC 3.6.4.12) (DNA excision repair protein ERCC-3),ERCC3,782,"apoptotic process [GO:0006915]; DNA repair [GO:0006281]; DNA topological change [GO:0006265]; hair cell differentiation [GO:0035315]; nucleotide-excision repair [GO:0006289]; nucleotide-excision repair, DNA duplex unwinding [GO:0000717]; nucleotide-excision repair, DNA incision [GO:0033683]; positive regulation of apoptotic process [GO:0043065]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; protein localization [GO:0008104]; regulation of mitotic cell cycle phase transition [GO:1901990]; response to oxidative stress [GO:0006979]; response to UV [GO:0009411]; transcription-coupled nucleotide-excision repair [GO:0006283]; transcription from RNA polymerase II promoter [GO:0006366]; transcription initiation from RNA polymerase II promoter [GO:0006367]; UV protection [GO:0009650]",GO:0000717; GO:0003677; GO:0004003; GO:0005524; GO:0005669; GO:0005675; GO:0006265; GO:0006281; GO:0006283; GO:0006289; GO:0006366; GO:0006367; GO:0006915; GO:0006979; GO:0008022; GO:0008104; GO:0008353; GO:0009411; GO:0009650; GO:0016887; GO:0033683; GO:0035315; GO:0043065; GO:0043138; GO:0045944; GO:0047485; GO:1901990,,,,PF16203;PF13625;PF04851;,"holo TFIIH complex [GO:0005675]; transcription factor TFIID complex [GO:0005669]; 3'-5' DNA helicase activity [GO:0043138]; ATP binding [GO:0005524]; ATP-dependent DNA helicase activity [GO:0004003]; ATPase activity [GO:0016887]; DNA binding [GO:0003677]; protein C-terminus binding [GO:0008022]; protein N-terminus binding [GO:0047485]; RNA polymerase II carboxy-terminal domain kinase activity [GO:0008353]; apoptotic process [GO:0006915]; DNA repair [GO:0006281]; DNA topological change [GO:0006265]; hair cell differentiation [GO:0035315]; nucleotide-excision repair [GO:0006289]; nucleotide-excision repair, DNA duplex unwinding [GO:0000717]; nucleotide-excision repair, DNA incision [GO:0033683]; positive regulation of apoptotic process [GO:0043065]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; protein localization [GO:0008104]; regulation of mitotic cell cycle phase transition [GO:1901990]; response to oxidative stress [GO:0006979]; response to UV [GO:0009411]; transcription from RNA polymerase II promoter [GO:0006366]; transcription initiation from RNA polymerase II promoter [GO:0006367]; transcription-coupled nucleotide-excision repair [GO:0006283]; UV protection [GO:0009650]"
Q9I931,CHOYP_FUCL1.1.1|m.28893,11.5,0,0,0,0,0,0,0,1.00E-14,Fucolectin-1,,178,"regulation of cellular defense response [GO:0010185]; regulation of complement activation, lectin pathway [GO:0001868]; regulation of innate immune response [GO:0045088]",GO:0001868; GO:0005509; GO:0005615; GO:0010185; GO:0030246; GO:0042806; GO:0045088,,,,PF00754;,"extracellular space [GO:0005615]; calcium ion binding [GO:0005509]; carbohydrate binding [GO:0030246]; fucose binding [GO:0042806]; regulation of cellular defense response [GO:0010185]; regulation of complement activation, lectin pathway [GO:0001868]; regulation of innate immune response [GO:0045088]"
Q6AXX4,CHOYP_ISCW_ISCW011328.1.1|m.8861,0,0,0,0,0,0,0,0,1.00E-80,Something about silencing protein 10 (Charged amino acid-rich leucine zipper 1) (Disrupter of silencing SAS10) (UTP3 homolog),Utp3 Crlz1 Sas10,470,"brain development [GO:0007420]; covalent chromatin modification [GO:0016569]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]",GO:0000462; GO:0003723; GO:0005634; GO:0005730; GO:0007420; GO:0016569; GO:0032040,,,,PF09368;PF04000;,"nucleolus [GO:0005730]; nucleus [GO:0005634]; small-subunit processome [GO:0032040]; RNA binding [GO:0003723]; brain development [GO:0007420]; covalent chromatin modification [GO:0016569]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]"
Q640B4,CHOYP_LOC100180920.1.1|m.17133,0,0,0,0,0,0,0,0,1.00E-89,Crossover junction endonuclease MUS81 (EC 3.1.22.-),mus81,612,double-strand break repair via break-induced replication [GO:0000727]; intra-S DNA damage checkpoint [GO:0031573]; mitotic G2 DNA damage checkpoint [GO:0007095]; replication fork processing [GO:0031297]; resolution of meiotic recombination intermediates [GO:0000712],GO:0000712; GO:0000727; GO:0003677; GO:0005634; GO:0007095; GO:0031297; GO:0031573; GO:0046872; GO:0048257; GO:0048476,,,,PF02732;,Holliday junction resolvase complex [GO:0048476]; nucleus [GO:0005634]; 3'-flap endonuclease activity [GO:0048257]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]; double-strand break repair via break-induced replication [GO:0000727]; intra-S DNA damage checkpoint [GO:0031573]; mitotic G2 DNA damage checkpoint [GO:0007095]; replication fork processing [GO:0031297]; resolution of meiotic recombination intermediates [GO:0000712]
Q8N2E2,CHOYP_LOC100199379.1.2|m.59875,0.5,0,0,0,0,0,0,0,3.00E-27,von Willebrand factor D and EGF domain-containing protein,VWDE,1590,,GO:0005576,,,,PF00094;,extracellular region [GO:0005576]
P61315,CHOYP_LOC100206557.1.1|m.11857,0.5,0,0,0,0,0,0,0,7.00E-37,"Galactose-3-O-sulfotransferase 3 (Gal3ST-3) (EC 2.8.2.-) (Beta-galactose-3-O-sulfotransferase 3) (Gal-beta-1, 3-GalNAc 3'-sulfotransferase 3)",Gal3st3,431,glycolipid biosynthetic process [GO:0009247],GO:0001733; GO:0009247; GO:0016021; GO:0032580; GO:0050694,PATHWAY: Protein modification; carbohydrate sulfation.,,,PF06990;,Golgi cisterna membrane [GO:0032580]; integral component of membrane [GO:0016021]; galactose 3-O-sulfotransferase activity [GO:0050694]; galactosylceramide sulfotransferase activity [GO:0001733]; glycolipid biosynthetic process [GO:0009247]
P49746,CHOYP_LOC100367144.1.1|m.34153,0,0,0,0,0,0,0,0,8.00E-150,Thrombospondin-3,THBS3 TSP3,956,bone trabecula formation [GO:0060346]; cell-matrix adhesion [GO:0007160]; growth plate cartilage development [GO:0003417]; ossification involved in bone maturation [GO:0043931],GO:0003417; GO:0005509; GO:0005576; GO:0007160; GO:0008201; GO:0043931; GO:0048471; GO:0060346,,,,PF11598;PF07645;PF02412;PF05735;,extracellular region [GO:0005576]; perinuclear region of cytoplasm [GO:0048471]; calcium ion binding [GO:0005509]; heparin binding [GO:0008201]; bone trabecula formation [GO:0060346]; cell-matrix adhesion [GO:0007160]; growth plate cartilage development [GO:0003417]; ossification involved in bone maturation [GO:0043931]
Q16820,CHOYP_LOC100372616.2.3|m.5692,0,0,0,0,0,0,0,0,7.00E-44,Meprin A subunit beta (EC 3.4.24.63) (Endopeptidase-2) (Meprin B) (N-benzoyl-L-tyrosyl-P-amino-benzoic acid hydrolase subunit beta) (PABA peptide hydrolase) (PPH beta),MEP1B,701,digestion [GO:0007586]; inflammatory response [GO:0006954]; toxin transport [GO:1901998],GO:0004222; GO:0005615; GO:0005886; GO:0005887; GO:0006954; GO:0007586; GO:0008270; GO:1901998,,,cd06263;cd04282;,PF01400;PF00629;,extracellular space [GO:0005615]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]; digestion [GO:0007586]; inflammatory response [GO:0006954]; toxin transport [GO:1901998]
